id;selskap;nettnivaa;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
133;VISSI AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
133;VISSI AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
135;KLIVE AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
135;KLIVE AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
157;RAKKESTAD ENERGI AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
157;RAKKESTAD ENERGI AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
161;RK NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
161;RK NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
162;ROMSDALSNETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
162;ROMSDALSNETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
164;AREA NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
164;AREA NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
167;HYDRO ENERGI AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
167;HYDRO ENERGI AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
168;R-NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
168;R-NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
173;RØROS E-VERK NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
173;RØROS E-VERK NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
