orgn;selskap;nettnivaa;komponent;avg_5yr_1000NOK;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
915729290;Aktieselskabet Saudefaldene;ld;gf;2050.0;0.0;8200.0;0.0;0.0;2091.0;2157.9;2209.7;2260.5;2303.5;2349.5;2396.5;2444.5;2493.4;2543.2;2594.1
915729290;Aktieselskabet Saudefaldene;rd;sf;3341.5;5772.0;425.0;710.0;6459.0;3408.3;3517.4;3601.8;3684.7;3754.7;3829.8;3906.4;3984.5;4064.2;4145.5;4228.4
915729290;Aktieselskabet Saudefaldene;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916319908;VEVIG AS;ld;sf;46344.5;46115.0;62037.0;42168.0;35058.0;47271.4;48784.1;49954.9;51103.9;52074.8;53116.3;54178.7;55262.2;56367.5;57494.8;58644.7
916319908;VEVIG AS;ld;gf;20624.8;21427.0;24832.0;19109.0;17131.0;21037.2;21710.4;22231.5;22742.8;23174.9;23638.4;24111.2;24593.4;25085.3;25587.0;26098.7
916319908;VEVIG AS;rd;sf;18932.5;2406.0;62025.0;5184.0;6115.0;19311.2;19929.1;20407.4;20876.8;21273.4;21698.9;22132.9;22575.5;23027.0;23487.6;23957.3
916319908;VEVIG AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916574894;SØR-NORGE ALUMINIUM AS;ld;sf;-0.2;0.0;-1.0;0.0;0.0;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3
916574894;SØR-NORGE ALUMINIUM AS;ld;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916574894;SØR-NORGE ALUMINIUM AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916574894;SØR-NORGE ALUMINIUM AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916763476;TINFOS AS;ld;sf;108.5;9.0;1.0;394.0;30.0;110.7;114.2;117.0;119.6;121.9;124.4;126.8;129.4;132.0;134.6;137.3
916763476;TINFOS AS;ld;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916763476;TINFOS AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916763476;TINFOS AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
