"id","ld_bs.correst"
"7",0.829428046022572
"9",0.631063950269056
"16",0.508930165275063
"22",0.723217412835027
"32",0.926994615377348
"35",0.808420688611096
"37",0.95653886582034
"42",0.704157899044967
"43",0.669254822811252
"55",0.626427167951307
"63",0.533224391502463
"65",0.654912627516594
"71",0.716990594415976
"82",0.828693851890101
"84",0.879812371891845
"86",0.792759570799772
"88",0.8767938909664
"91",0.862803529505149
"93",0.787421361262866
"95",0.80651804554969
"96",0.630177812385788
"104",0.76161647017389
"116",0.648074311442338
"132",0.810849586585025
"133",0.912551818805801
"135",0.924020376917824
"157",0.93296088349519
"161",0.826848577952916
"162",0.688692326037986
"164",0.73096410957466
"168",0.803396032117785
"173",0.958616899902638
"194",0.895370147215386
"197",0.609336696908461
"213",0.717253392241608
"214",0.559087785721592
"215",0.913862310061026
"223",0.660311935949677
"227",0.743175271212475
"238",0.689014446605391
"242",0.638916513207761
"248",0.716482782607582
"249",0.666342094146347
"251",0.689097943169587
"257",0.817542483109835
"264",0.961855027414809
"267",0.568775332950914
"269",0.654076520165489
"274",0.687442804775164
"275",0.829872613724249
"295",0.849705157415547
"306",0.849668787467708
"311",0.754702564188407
"349",0.592608108445725
"354",0.445396778911693
"433",0.716176266261916
"464",0.617337104885003
"503",0.794527297437893
"511",0.814720119857391
"542",0.860805490638578
"566",0.793695344843054
"591",0.718580699025617
"599",0.633261541760428
"611",0.910730877392881
"613",0.80294891558304
"624",0.883765014361782
"625",0.616078351992782
"659",0.821337513447155
"675",0.932796983526851
"699",0.927453475447006
"903",0.915487222147113
